AN;MOIS;PAX_Depart;PAX_Arrivee;PAX_Transit;FRP_Depart;FRP_Arrivee;NMVT_Mixte;NMVT_Cargo
1990;02;3451;3526;1;0,6;2,8;206;0
1990;02;160028;165715;22257;1574,5;2557,9;3706;529
1990;02;164102;180824;8579;1074,5;1161,9;7723;218
1990;02;14711;17455;219;12,5;55,5;292;0
1990;02;35579;38645;237;248,5;331,5;836;113
1990;02;1424;1576;0;0,9;0;151;0
1990;02;4625;4608;0;138,7;167;248;118
1990;02;3074;3575;2;0,4;0;57;2
1990;02;1007;858;596;0;0,2;331;0
1990;02;1186;1245;0;0;0;378;0
1990;02;550;545;4;0;0;106;0
1990;02;781884;746549;14219;25667,4;25495,4;16220;780
1990;02;865741;797918;6941;12014,6;9971,6;13956;488
1990;02;24304;23516;982;174,8;216,8;1118;209
1990;02;17380;17556;177;180;173,2;742;39
1990;02;783;785;0;0,9;0,1;221;0
1990;02;1911;1691;0;4;0,9;197;0
1990;02;271;314;4;58,4;19,5;79;0
1990;02;8030;8633;0;1,4;28,6;174;0
1990;02;1154;1158;347;0,1;0;275;1
1990;02;6398;6459;98;44,2;61,9;633;43
1990;02;1274;1266;0;3,8;0;105;0
1990;02;3365;3979;0;1,2;4,7;122;2
1990;02;33837;32876;3228;126,4;162,2;1371;172
1990;02;672;788;1235;0,8;0,5;174;0
1990;02;49488;48642;1193;678;666,4;2943;522
1990;02;1121;926;11;0;0;389;0
1990;02;6937;5612;127;1,3;0,3;805;0
1990;02;1893;2155;0;0,3;0,1;245;0
1990;02;53373;53162;806;373,8;247,6;1472;75
1990;02;17540;19848;15;27,2;66,6;240;0
1990;02;12158;13315;22;17,9;8,5;271;0
1990;02;676;618;0;3,1;13;187;0
1990;02;761;838;518;2,4;17,4;71;0
1990;02;26122;26332;3999;100,4;488,7;2152;0
1990;02;3871;3803;242;2,6;7,6;278;0
1990;02;1288;1243;593;8,9;6,6;150;0
1990;02;1612;1489;1945;1,1;3,4;248;0
1990;02;6145;5632;680;0,1;0,1;1370;0
1990;02;2574;2443;963;2,9;9,5;256;0
1990;02;3618;3275;0;1,9;14,9;258;0
1990;02;4216;3315;20;3,2;21;266;0
1990;02;9552;11781;0;57,1;10,7;898;0
1990;02;1966;1543;40;4;9,4;154;0
1990;02;1739;1269;0;0,6;9,1;126;0
1990;02;10517;15589;1432;144,6;519;199;0
1990;02;9225;9240;3415;306,9;457,1;510;20
1990;02;40383;41185;7991;834,9;686,3;1985;91
1990;02;1067;904;1;1,2;6,8;386;0
1990;02;7035;7194;193;1,6;6,9;1543;0
1990;02;1271;1364;0;1,5;4,6;190;0
1990;02;43111;42227;20775;561,4;827;2177;55
1990;02;3608;3744;54;7,3;9,4;1814;24
1990;02;5683;5432;1422;28,6;36,5;1382;2
1990;03;1073;959;0;3,6;14;77;3
1990;03;21215;22455;922;253,7;1268,5;575;30
1990;03;1354;1303;14;0;0;160;0
1990;03;104369;103362;11966;544,2;633,4;2748;113
1990;03;1467;1434;2390;0;0;380;0
1990;03;2248;2153;0;0;0;145;0
1990;03;1380;1358;948;30,6;48,9;315;90
1990;03;5956;5749;503;14,6;6,8;338;1
1990;03;140855;131054;7893;885,4;1604,2;2926;232
1990;03;23788;22791;1018;96,3;105,1;712;45
1990;03;6133;4550;36;0,7;16,5;120;0
1990;03;1823;1699;313;2,4;1;351;0
1990;03;805;732;0;0;0;112;0
1990;03;1722;1817;0;0;0,5;240;0
1990;03;20528;18764;42;14,3;31,3;396;0
1990;03;1191;1142;0;0;0;182;0
1990;03;2789;2601;1801;0;0;228;0
1990;03;24181;23398;280;102,3;393,3;577;100
1990;03;2387;2476;0;0,1;4,5;126;0
1990;03;1579;1366;0;0;0,1;119;0
1990;03;22084;21342;62;75,5;406,7;590;172
1990;03;6018;6269;124;6;0;375;0
1990;03;11593;11314;0;197,3;212,4;635;261
1990;03;669;666;0;0;0;139;0
1990;03;172686;169790;10453;1551,3;1331,4;5285;678
1990;03;2288;2188;2;3,8;0;159;0
1990;03;25490;24360;0;4,9;9,8;642;2
1990;03;1238;1158;8;0;0,2;145;0
1990;03;15;11;0;228,9;48,3;10;25
1990;03;4166;4173;0;0,8;2,4;213;0
