APT;APT_NOM;APT_ZON;APT_PEQ
NTUV;VAHITAHI;OM;1053
NTGU;ARUTUA;OM;1360
NTGV;MATAIVA;OM;1050
LFDN;ROCHEFORT-CHARENTE-MARITIME;MT;6146
NTAV;RAIVAVAE;OM;1033
LFMQ;LE CASTELLET;MT;1228
NTMP;UA POU;OM;1034
LFAQ;ALBERT-BRAY;MT;1029
NTAM;RIMATARA;OM;1118
NTGJ;TOTEGEGIE;OM;1101
LFPB;PARIS-LE BOURGET;MT;7090
LFSL;BRIVE-SOUILLAC;MT;4363
LFAV;VALENCIENNES-DENAIN;MT;1259
NWWD;KONE;OM;1021
